mass,wing,tarsus,blength,bdepth,bwidth,year,noffspring
22.7,62,19.2,8.3,5.9,6.5,1975,0
21.9,63,19.1,8.5,5.8,6.3,1975,2
20.6,62,18.4,8.8,5.6,6.5,1975,3
22.7,64,19.3,8.1,5.8,6.3,1975,1
22.2,62,19.6,8.2,5.9,6.6,1975,0
22.9,64,20.3,8.5,6.0,6.7,1975,3
20.7,62,19.4,8.1,5.7,6.3,1975,0
25.2,64,20.7,8.0,6.1,6.5,1975,0
22.7,64,19.4,8.4,5.6,6.2,1975,3
22.7,64,19.4,8.4,5.6,6.2,1975,1
20.8,60,18.6,8.3,5.9,6.5,1975,1
22.7,62,19.2,8.3,5.9,6.5,1976,7
21.9,63,19.1,8.5,5.8,6.3,1976,2
21.9,63,19.1,8.5,5.8,6.3,1976,2
20.6,62,18.4,8.8,5.6,6.5,1976,3
22.9,64,20.3,8.5,6.0,6.7,1976,2
20.7,62,19.4,8.1,5.7,6.3,1976,0
25.2,64,20.7,8.0,6.1,6.5,1976,6
25.0,65,20.0,8.1,5.4,6.3,1976,5
22.7,64,19.4,8.4,5.6,6.2,1976,7
22.7,64,19.3,8.1,5.8,6.3,1976,2
22.7,62,19.2,8.3,5.9,6.5,1977,3
22.0,64,19.0,9.0,6.1,6.7,1977,4
23.1,66,20.5,8.0,5.9,6.6,1977,6
21.9,63,19.1,8.5,5.8,6.3,1977,4
21.5,65,19.7,8.7,6.0,6.9,1977,4
22.5,65,19.5,8.8,5.7,6.5,1977,7
23.0,64,20.0,8.7,5.9,6.7,1977,5
25.2,65,19.3,9.1,5.9,6.7,1977,3
20.7,62,19.4,8.1,5.7,6.3,1977,6
21.5,63,19.2,8.6,6.1,6.8,1977,5
21.4,64,19.3,9.3,5.9,6.7,1977,3
20.6,62,18.4,8.8,5.6,6.5,1977,6
22.9,64,20.3,8.5,6.0,6.7,1977,6
21.0,65,19.6,8.4,5.6,6.3,1977,3
22.7,65,20.0,8.7,6.0,6.7,1977,1
22.6,62,18.7,8.4,5.9,6.6,1977,3
26.0,64,18.4,8.4,6.1,7.0,1977,3
22.6,62,18.9,8.9,6.0,6.7,1977,3
24.6,65,19.5,8.7,5.9,6.5,1977,3
22.5,65,19.4,8.5,6.1,6.8,1977,0
22.0,65,19.7,8.5,6.3,6.6,1977,1
23.0,64,20.2,8.4,5.7,6.7,1977,2
22.3,64,19.0,8.7,6.0,6.5,1977,0
24.8,66,19.1,8.2,6.0,6.8,1977,3
25.2,64,20.7,8.0,6.1,6.5,1977,3
22.6,62,18.9,8.9,6.0,6.7,1977,0
21.5,65,19.8,8.7,6.0,6.7,1978,3
22.7,62,19.2,8.3,5.9,6.5,1978,4
23.1,66,20.5,8.0,5.9,6.6,1978,7
20.8,60,18.6,8.3,5.9,6.5,1978,7
23.0,64,20.0,8.7,5.9,6.7,1978,4
25.2,65,19.3,9.1,5.9,6.7,1978,5
24.0,64,19.9,8.5,5.7,6.6,1978,6
22.7,65,20.0,8.7,6.0,6.7,1978,1
21.5,64,19.1,8.8,5.7,6.6,1978,1
23.4,67,20.5,8.7,5.9,6.6,1978,2
21.5,68,20.8,8.9,6.0,6.7,1978,0
22.9,64,20.3,8.5,6.0,6.7,1978,4
21.0,65,19.6,8.4,5.6,6.3,1978,2
23.0,64,20.2,8.4,5.7,6.7,1978,6
21.7,64,18.6,8.3,5.8,6.7,1978,0
24.6,65,19.5,8.7,5.9,6.5,1978,5
20.6,62,18.4,8.8,5.6,6.5,1978,6
22.7,64,19.5,8.9,6.0,7.0,1978,3
22.6,62,18.9,8.9,6.0,6.7,1978,4
23.0,63,18.9,8.9,5.4,6.7,1978,4
22.5,63,19.4,8.4,5.7,6.7,1978,1
22.8,64,19.5,8.3,6.0,6.9,1978,2
22.6,62,18.7,8.4,5.9,6.6,1978,2
26.0,64,18.4,8.4,6.1,7.0,1978,3
23.4,65,20.4,8.8,5.7,6.8,1978,5
21.5,68,20.4,8.4,5.8,7.1,1978,3
22.6,64,19.0,9.2,6.1,7.0,1978,2
24.0,65,20.2,8.6,6.0,6.8,1978,4
23.8,66,19.3,8.8,6.1,6.7,1978,8
21.9,63,19.1,8.5,5.8,6.3,1978,2
21.5,63,19.2,8.6,6.1,6.8,1978,6
24.4,65,19.2,8.5,5.9,6.6,1978,1
24.5,66,20.0,8.4,6.0,7.0,1978,3
24.8,66,19.1,8.2,6.0,6.8,1978,6
22.6,64,19.4,8.6,5.8,6.6,1978,1
24.4,65,20.1,8.8,6.0,6.9,1978,4
21.0,66,19.1,8.9,6.0,7.0,1978,2
22.9,64,19.8,8.7,5.7,6.6,1978,6
23.5,63,19.2,8.9,6.3,6.7,1978,0
23.0,64,19.9,8.6,5.7,6.7,1978,2
25.2,64,20.7,8.0,6.1,6.5,1978,0
21.4,64,19.3,9.3,5.9,6.7,1978,5
21.5,65,19.8,8.7,6.0,6.7,1979,2
23.1,66,20.5,8.0,5.9,6.6,1979,2
22.6,64,19.0,9.2,6.1,7.0,1979,0
20.8,60,18.6,8.3,5.9,6.5,1979,1
24.0,64,19.9,8.5,5.7,6.6,1979,2
23.6,65,19.1,8.8,5.7,6.8,1979,3
22.3,65,18.8,9.0,5.9,6.8,1979,0
22.9,64,20.3,8.5,6.0,6.7,1979,2
21.0,65,19.6,8.4,5.6,6.3,1979,0
23.0,64,20.2,8.4,5.7,6.7,1979,1
21.7,64,18.6,8.3,5.8,6.7,1979,0
23.0,67,19.9,8.8,5.7,6.8,1979,1
22.7,64,19.5,8.9,6.0,7.0,1979,1
21.9,63,19.1,8.5,5.8,6.3,1979,1
22.8,66,19.5,8.8,5.9,6.7,1979,3
22.5,63,19.4,8.4,5.7,6.7,1979,2
26.0,64,18.4,8.4,6.1,7.0,1979,1
23.4,65,20.4,8.8,5.7,6.8,1979,2
22.9,66,19.6,8.9,5.8,6.6,1979,0
24.0,65,20.2,8.6,6.0,6.8,1979,1
23.8,66,19.3,8.8,6.1,6.7,1979,0
22.6,65,19.2,8.9,5.9,6.6,1979,0
21.5,63,19.2,8.6,6.1,6.8,1979,3
24.5,66,20.0,8.4,6.0,7.0,1979,2
24.8,66,19.1,8.2,6.0,6.8,1979,2
23.0,65,19.5,8.9,5.7,7.0,1979,2
24.4,65,20.1,8.8,6.0,6.9,1979,3
21.9,67,19.7,8.6,6.0,6.7,1979,2
22.9,64,19.8,8.7,5.7,6.6,1979,1
22.1,63,18.6,8.5,5.5,6.6,1979,0
23.0,64,19.9,8.6,5.7,6.7,1979,4
22.5,64,19.5,8.5,5.8,6.6,1979,1
23.9,65,19.4,8.9,5.9,6.6,1979,0
22.6,64,19.0,9.2,6.1,7.0,1979,1
22.8,64,19.5,8.3,6.0,6.9,1979,4
21.8,64,19.2,9.2,5.9,6.9,1979,0
21.7,64,18.5,8.7,5.8,6.7,1979,1
22.6,62,18.7,8.4,5.9,6.6,1979,2
23.1,66,20.7,8.8,5.6,6.5,1979,1
23.4,67,20.3,8.4,5.8,6.7,1979,3
24.6,65,19.5,8.7,5.9,6.5,1979,2
22.6,64,19.3,8.5,5.8,6.5,1979,0
23.8,65,20.4,9.5,6.2,7.0,1979,0
21.0,61,18.7,8.3,5.5,6.7,1979,0
24.3,64,19.5,8.8,5.8,6.6,1979,0
23.7,67,17.7,9.1,5.9,6.8,1979,0
21.0,66,19.1,8.9,6.0,7.0,1979,1
25.9,64,20.0,8.5,5.6,6.6,1979,3
23.3,64,19.4,8.9,5.8,6.6,1979,0
21.3,63,19.3,8.7,5.8,6.6,1979,0
25.2,65,19.3,9.1,5.9,6.7,1979,2
24.0,67,19.9,9.0,5.8,6.7,1979,0
21.2,64,19.7,8.4,5.5,6.5,1979,2
22.8,67,19.0,8.5,5.8,6.9,1979,0
21.4,64,19.3,9.3,5.9,6.7,1979,2
21.7,66,18.3,8.5,6.2,6.8,1979,0
23.3,64,19.4,8.9,5.8,6.6,1979,1